<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
GAZP;D;20190920;000000;230.4100000
GAZP;D;20190923;000000;230.3600000
GAZP;D;20190924;000000;227.7000000
GAZP;D;20190925;000000;228.4300000
GAZP;D;20190926;000000;231.9700000
GAZP;D;20190927;000000;229.0100000
GAZP;D;20190930;000000;225.9000000
GAZP;D;20191001;000000;226.4900000
GAZP;D;20191002;000000;223.6000000
GAZP;D;20191003;000000;223.1000000
GAZP;D;20191004;000000;221.6600000
GAZP;D;20191007;000000;226.3600000
GAZP;D;20191008;000000;223.2000000
GAZP;D;20191009;000000;223.1800000
GAZP;D;20191010;000000;224.5000000
GAZP;D;20191011;000000;227.3700000
GAZP;D;20191014;000000;226.0000000
GAZP;D;20191015;000000;226.0000000
GAZP;D;20191016;000000;227.7000000
GAZP;D;20191017;000000;228.0000000
GAZP;D;20191018;000000;228.0000000
GAZP;D;20191021;000000;228.5400000
GAZP;D;20191022;000000;235.3600000
GAZP;D;20191023;000000;236.2000000
GAZP;D;20191024;000000;243.9400000
GAZP;D;20191025;000000;246.7100000
GAZP;D;20191028;000000;244.4000000
GAZP;D;20191029;000000;253.1000000
GAZP;D;20191030;000000;261.6000000
GAZP;D;20191031;000000;260.0000000
GAZP;D;20191101;000000;263.7900000
GAZP;D;20191105;000000;263.0000000
GAZP;D;20191106;000000;266.9800000
GAZP;D;20191107;000000;270.7400000
GAZP;D;20191108;000000;266.0000000
GAZP;D;20191111;000000;260.4000000
GAZP;D;20191112;000000;257.2500000
GAZP;D;20191113;000000;251.8000000
GAZP;D;20191114;000000;248.3400000
GAZP;D;20191115;000000;248.0100000
GAZP;D;20191118;000000;246.1500000
GAZP;D;20191119;000000;248.0100000
GAZP;D;20191120;000000;248.0000000
GAZP;D;20191121;000000;254.3500000
GAZP;D;20191122;000000;251.9900000
GAZP;D;20191125;000000;255.2000000
GAZP;D;20191126;000000;254.0000000
GAZP;D;20191127;000000;253.8900000
GAZP;D;20191128;000000;254.0000000
GAZP;D;20191129;000000;257.5400000
GAZP;D;20191202;000000;254.0500000
GAZP;D;20191203;000000;247.9300000
GAZP;D;20191204;000000;248.9300000
GAZP;D;20191205;000000;246.3600000
GAZP;D;20191206;000000;247.8300000
GAZP;D;20191209;000000;248.7000000
GAZP;D;20191210;000000;246.9000000
GAZP;D;20191211;000000;247.3400000
GAZP;D;20191212;000000;250.4800000
GAZP;D;20191213;000000;249.5000000
GAZP;D;20191216;000000;250.7800000
GAZP;D;20191217;000000;252.0500000
GAZP;D;20191218;000000;251.2900000
GAZP;D;20191219;000000;251.4000000
GAZP;D;20191220;000000;255.5000000
GAZP;D;20191223;000000;255.0000000
GAZP;D;20191224;000000;254.8700000
GAZP;D;20191225;000000;253.2500000
GAZP;D;20191226;000000;254.1000000
GAZP;D;20191227;000000;257.1100000
GAZP;D;20191230;000000;256.4000000
GAZP;D;20200103;000000;259.0000000
GAZP;D;20200106;000000;256.5500000
GAZP;D;20200108;000000;255.7900000
GAZP;D;20200109;000000;254.0700000
GAZP;D;20200110;000000;251.9000000
GAZP;D;20200113;000000;251.5000000
GAZP;D;20200114;000000;250.0000000
GAZP;D;20200115;000000;251.3000000
GAZP;D;20200116;000000;254.2600000
GAZP;D;20200117;000000;255.3900000
GAZP;D;20200120;000000;253.5000000
GAZP;D;20200121;000000;252.9900000
GAZP;D;20200122;000000;248.1000000
GAZP;D;20200123;000000;239.3000000
GAZP;D;20200124;000000;237.9500000
GAZP;D;20200127;000000;230.9600000
GAZP;D;20200128;000000;235.0000000
GAZP;D;20200129;000000;232.0000000
GAZP;D;20200130;000000;231.5300000
GAZP;D;20200131;000000;226.7000000
GAZP;D;20200203;000000;227.6400000
GAZP;D;20200204;000000;230.5000000
GAZP;D;20200205;000000;232.5600000
GAZP;D;20200206;000000;231.3800000
GAZP;D;20200207;000000;229.1100000
GAZP;D;20200210;000000;225.2000000
GAZP;D;20200211;000000;233.9000000
GAZP;D;20200212;000000;238.0300000
GAZP;D;20200213;000000;233.5500000
GAZP;D;20200214;000000;232.5000000
GAZP;D;20200217;000000;233.7500000
GAZP;D;20200218;000000;230.5000000
GAZP;D;20200219;000000;231.9000000
GAZP;D;20200220;000000;234.6000000
GAZP;D;20200221;000000;232.0000000
GAZP;D;20200225;000000;224.6800000
GAZP;D;20200226;000000;224.7600000
GAZP;D;20200227;000000;217.5000000
GAZP;D;20200228;000000;202.6500000
GAZP;D;20200302;000000;198.7800000
GAZP;D;20200303;000000;201.4800000
GAZP;D;20200304;000000;200.0000000
GAZP;D;20200305;000000;198.0000000
GAZP;D;20200306;000000;188.2700000
GAZP;D;20200310;000000;171.0000000
GAZP;D;20200311;000000;172.0300000
GAZP;D;20200312;000000;163.7300000
GAZP;D;20200313;000000;166.1000000
GAZP;D;20200316;000000;168.0700000
GAZP;D;20200317;000000;167.0000000
GAZP;D;20200318;000000;166.3400000
GAZP;D;20200319;000000;174.5600000
GAZP;D;20200320;000000;176.2600000
GAZP;D;20200323;000000;168.3500000
GAZP;D;20200324;000000;177.9500000
GAZP;D;20200325;000000;180.2000000
GAZP;D;20200326;000000;181.5000000
GAZP;D;20200327;000000;174.5000000
GAZP;D;20200330;000000;176.4400000
GAZP;D;20200331;000000;181.4100000
GAZP;D;20200401;000000;180.0600000
GAZP;D;20200402;000000;187.0400000
GAZP;D;20200403;000000;189.7700000
GAZP;D;20200406;000000;191.1000000
GAZP;D;20200407;000000;191.2200000
GAZP;D;20200408;000000;194.1100000
GAZP;D;20200409;000000;193.8600000
GAZP;D;20200410;000000;192.0000000
GAZP;D;20200413;000000;188.0700000
GAZP;D;20200414;000000;190.1100000
GAZP;D;20200415;000000;184.2500000
GAZP;D;20200416;000000;184.3000000
GAZP;D;20200417;000000;184.6800000
GAZP;D;20200420;000000;185.5100000
GAZP;D;20200421;000000;181.9200000
GAZP;D;20200422;000000;188.3600000
GAZP;D;20200423;000000;188.7300000
GAZP;D;20200424;000000;185.7100000
GAZP;D;20200427;000000;186.2900000
GAZP;D;20200428;000000;188.5000000
GAZP;D;20200429;000000;193.8700000
GAZP;D;20200430;000000;190.0000000
GAZP;D;20200504;000000;185.7000000
GAZP;D;20200505;000000;190.0000000
GAZP;D;20200506;000000;187.0500000
GAZP;D;20200507;000000;185.8500000
GAZP;D;20200508;000000;185.3400000
GAZP;D;20200512;000000;186.1700000
GAZP;D;20200513;000000;184.2000000
